Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,47uf@50V,CP_Elec_6.3x7.7,82.423,-64.516,90,top
C2,47uf@50V,CP_Elec_6.3x7.7,82.423,-74.676,-90,top
C3,10uf@50V,C_0805_2012Metric,79.883,-69.596,-90,top
C4,.01uf,C_0805_2012Metric,72.009,-65.024,90,top
C5,220uf@10V,CP_Elec_6.3x7.7,67.183,-73.787,0,top
C6,10uf@50V,C_0805_2012Metric,67.945,-69.088,0,top
C7,.1uf@50V,C_0805_2012Metric,76.2,-81.915,0,top
C8,10uf,C_0805_2012Metric,31.75,-63.514,0,top
C9,10uf,C_0805_2012Metric,31.75,-65.8,0,top
C10,10uf,C_0805_2012Metric,31.75,-68.086,0,top
C11,.1uf,C_0805_2012Metric,29.21,-82.55,-90,top
C12,.1uf,C_0805_2012Metric,29.845,-75.63,-90,top
C13,.1uf,C_0805_2012Metric,13.335,-44.389,-90,top
C14,10uf@50V,C_0805_2012Metric,76.2,-83.82,0,top
C15,.1uf,C_0805_2012Metric,62.23,-22.225,90,top
D1,B340A,D_SMA,74.803,-63.5,-90,top
D2,RED LED,LED_0805_2012Metric,68.961,-78.486,180,top
D3,1N5819WS,D_SOD-323,33.655,-82.55,90,top
D4,RED LED,LED_0805_2012Metric,11.43,-49.8325,-90,top
D5,RED LED,LED_0805_2012Metric,81.61,-22.347,-90,top
D6,1N5819WS,D_SOD-323,83.61,-22.347,90,top
L1,22uH@3A,Inductor_6.6x7.1_H3,67.437,-64.008,-90,top
Q1,AO3400A,SOT-23,86.36,-22.347,90,top
Q2,AO3400A,SOT-23,6.096,-14.351,90,top
Q3,AO3400A,SOT-23,25.146,-14.478,90,top
Q4,AO3400A,SOT-23,63.293,-14.732,90,top
Q5,AO3400A,SOT-23,44.497,-14.605,90,top
R1,8.2K,R_0805_2012Metric,73.025,-78.486,0,top
R2,1.8K,R_0805_2012Metric,76.835,-78.486,0,top
R3,6.8K,R_0805_2012Metric,65.024,-78.486,0,top
R4,4.7K,R_0805_2012Metric,11.43,-53.6425,90,top
R5,10K,R_0805_2012Metric,27.305,-82.55,90,top
R6,120,R_0805_2012Metric,23.495,-82.55,90,top
R7,120,R_0805_2012Metric,20.955,-82.55,90,top
R8,150,R_0805_2012Metric,87.41,-33.347,90,top
R9,10K,R_0805_2012Metric,84.41,-33.347,90,top
R10,2.2K,R_0805_2012Metric,82.41,-33.347,90,top
R11,10K,R_0805_2012Metric,5.9455,-17.526,180,top
R12,10K,R_0805_2012Metric,24.9955,-17.653,180,top
R13,10K,R_0805_2012Metric,63.1425,-17.907,180,top
R14,10K,R_0805_2012Metric,44.3465,-17.78,180,top
R15,10K,R_0805_2012Metric,5.9455,-11.176,0,top
R16,10K,R_0805_2012Metric,24.9955,-11.303,0,top
R17,10K,R_0805_2012Metric,63.1425,-11.557,0,top
R18,10K,R_0805_2012Metric,44.3465,-11.43,0,top
SW1,PushButton_C318884,PushButton_C318884,5.11,-88.265,-90,top
U1,TPS5430DDA,TI_SO-PowerPAD-8_ThermalVias,74.803,-69.85,0,top
U2,AMS1117-5.0,SOT-223,23.724,-65.8,180,top
U4,MAX3491ESD+T or SP3070EEN-L,SOIC-14_3.9x8.7mm_P1.27mm,24.13,-75.63,-90,top
